"country","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27230181609.7517,24661837941.0825,31715123880.943,34516291727.6363,35004392819.6093,38935286310.2743,41021206603.4789,46692929710.5635,48525619646.7846,58905506095.0391,67365774931.1788,67652992130.511,76280295913.775,80552560512.7546,82747249953.2835,83948172923.1521,85845665398.7237,88118002911.2457,89165926988.9716,92653744435.2081,90475361627.1266,71711821711.9906,67236880698.2772,69059596415.9978
"Albania",16512635417.4724,11888743856.7479,11034286649.3631,12089099536.6712,13092841343.9791,14837113309.1032,16187290536.6191,14419640987.3382,15692812194.5499,17715741800.2652,18946315596.6695,20517592781.197,21448378334.8396,22634181415.0769,23882381354.4869,25202223068.4115,26689824365.6116,28286745822.4528,30408263478.3926,31428244621.7301,32593270212.2908,33422901314.9682,33896584977.3749,34236234704.5503,34843739178.4399,35616826409.6902,36797517325.3688,38196779248.2451,39732039820.7777,40551539977.1009,39207777048.9736,42724539545.115,44786719902.6965,46549805230.3567
"Algeria",251547195355.066,248528627538.89,253002148556.814,247689101520.146,245459908144.967,254787371866.679,265233650215.968,268151220206.248,281826942114.257,290845408641.091,301897534173.321,310954460195.799,327746001046.372,349049491114.386,364756718214.533,384453580998.118,395602734847.064,407866419627.322,418063080118.006,423079837079.422,443387669259.234,456689299337.01,467649842521.099,479808738426.648,499480896702.14,515464285396.609,535567392527.076,543600903414.983,551211316062.792,556172217907.357,528363607011.99,548441424078.445,568185315345.269,591480913274.425
"Andorra",2478322214.9284,2541420386.02513,2565035621.0707,2538577679.04144,2599076611.64542,2670746191.14147,2794928909.50302,3048363897.08768,3145752825.46315,3274699716.46299,3390242988.70177,3665508944.58931,3832156258.18395,4165331729.99068,4504209637.9623,4747337684.9564,4975622375.7243,5052903152.40659,4772002849.14421,4518950861.00346,4429703479.47366,4429346013.32601,4209010688.79393,4059691972.26153,4161365557.97152,4221045382.43146,4377632577.2994,4392782333.08073,4462573342.8599,4552518634.48748,4043367684.85221,4378432620.58224,4797212723.65224,4921151343.70154
"Angola",36587010992.0268,36949719728.8364,34792491360.9617,26448062919.3703,26802298603.7696,30822643402.0711,34997376192.7443,37543182403.8386,39304388072.7445,40161809257.4333,41388601615.9473,43129405602.3434,49023335936.3669,50489133680.8643,56017693821.9212,64437153198.0631,71879644391.0727,81949982576.4478,91103795625.496,91887288269.8365,95928836647.2766,99259536839.9099,107738392759.759,113076413206.962,118529590253.829,119648001759.22,116561023915.719,116389431004.253,114857325124.504,114050713190.313,107620289094.203,108910882924.238,112226921464.066,113350637688.059
"Antigua and Barbuda",1230105732.38191,1256883079.90964,1271444583.07665,1338580263.41473,1427942821.54085,1365693478.94705,1455895707.08466,1535550596.43277,1608201012.71729,1667828417.98488,1771292015.07816,1690732449.00799,1708100075.18114,1811899540.27902,1916386993.06373,2040452300.18087,2299753234.18091,2513982848.8545,2513630729.17226,2212925937.76691,2039423027.26356,1999476403.62013,2066915448.60752,2054499166.88922,2099933440.34968,2130280739.73272,2217617255.3795,2272244561.15931,2430237953.96655,2505586148.73959,2032521481.49169,2199019918.93145,2408287354.69842,2501295705.84217
"Argentina",122019524361.68,133163702435.435,143733293745.074,155529455082.533,164606466234.498,159923067237.573,168761519125.862,182449844873.182,189474490215.197,183059912746.004,181615571976.599,173608432569.54,154694688222.098,168365120929.173,183567772936.254,199816567919.536,215896109862.981,235343277692.247,244891703061.555,230397726205.957,253726413326.912,268960024614.949,266199363908.055,272602320512.459,265752872842.368,273011008547.964,267331484520.562,274866230372.262,267671891381.01,262316148890.756,236345578406.084,261024339345.791,274780007948.752,270353297566.783
"Armenia",19283545266.097,17027370762.6826,9909929316.35121,9037855656.09607,9525900112.70322,10183187069.9454,10780471800.6624,11138499861.2491,11951610349.7513,12346013491.3627,13074428287.7384,14329573403.2666,16221077092.202,18492027885.3617,20433690813.1065,23273973835.9471,26346138382.1679,29955559340.9324,32022492935.5854,27507321431.4437,28112482502.9947,29433769180.2627,31553000561.5256,32594249580.0559,33767642565.1302,34848207126.8653,34917903541.0584,37536746307.211,39488657115.0558,42489795055.2231,39430529811.5843,41717500540.915,46973905608.9772,50872739774.3322
"Australia",549886004814.858,547784009467.28,550130111104.226,572392381256.329,595175821129.211,618303914504.472,642194490911.741,667325149612.824,698443953444.396,733559508993.195,762326066635.915,777763974002.646,808715757741.493,833711236300.638,868929573444.959,896337067925.135,921034256419.011,955787842000.966,990064945512.37,1008802477252.78,1031197693164.31,1056019448483.19,1097380661746.92,1125936628837.94,1155157883321.72,1180457796498.04,1213031183344.52,1240683342709.7,1276396036984.66,1304113552038.29,1302553953045.35,1330053057208.49,1386479035959.54,1434201536233.16
"Austria",310781876029.145,321477829825.622,328208048418.539,329937079312.409,337862559664.011,346876676768.756,354562657207.581,362170985950.049,374821184911.991,388921674731.899,401326419749.456,406611838969.029,412647458966.473,417358097992.388,428064397855.406,437997055462.768,452316651340.334,469392620904.961,476214330138.951,459136023343.136,467441714435.343,481125920613.56,484148575827.985,482934686826.658,486584702731.69,492927446723.078,503363803588.665,514801488221.63,527590294215.14,536849379661.983,502929865349.862,527047007563.31,554863991070.208,549565248768.29
