"country","year","Yt","DR.2.Yt","DR.3.Yt"
"Afghanistan",2015,83948172923.1521,87339679109.2474,89060616654.1721
"Afghanistan",2016,85845665398.7237,87562578706.6982,88421035360.6854
"Afghanistan",2017,88118002911.2457,88118002911.2457,88118002911.2457
"Afghanistan",2018,89165926988.9716,87417575479.3839,86568861154.3414
"Afghanistan",2019,92653744435.2081,89055886615.9247,87335040470.5515
"Afghanistan",2020,96581406681.9014,91010816618.3268,88385668773.5376
"Afghanistan",2021,99335655422.2686,91770790903.2088,88258443238.9015
"Afghanistan",2022,102089904162.636,92465971572.6828,88063648127.6272
"Afghanistan",2023,104844152903.003,93098607367.42,87805327461.5989
"Afghanistan",2024,107598401643.37,93670883753.2238,87487347010.3369
"Afghanistan",2025,110352650383.737,94184924537.8283,87113401243.9392
"Afghanistan",2026,113106899124.104,94642793448.6216,86687020032.216
"Afghanistan",2027,115861147864.472,95046495672.2036,86211575098.9033
"Afghanistan",2028,118615396604.839,95397979356.6637,85690286239.5363
"Afghanistan",2029,121369645345.206,95699137077.4609,85126227311.2842
"Afghanistan",2030,124123894085.574,95951807267.7406,84522332002.7429
"Afghanistan",2031,126878142825.941,96157775613.9265,83881399391.4274
"Afghanistan",2032,129632391566.309,96318776417.407,83206099296.4449
"Afghanistan",2033,132386640306.676,96436493923.0902,82498977433.5454
"Afghanistan",2034,135140889047.043,96512563615.6258,81762460379.5445
"Afghanistan",2035,137895137787.41,96548573484.0314,80998860352.8289
"Afghanistan",2036,140649386527.777,96546065255.4771,80210379816.4606
"Afghanistan",2037,143403635268.145,96506535598.9452,79399115910.1522
"Afghanistan",2038,146157884008.512,96431437299.4717,78567064717.1764
"Afghanistan",2039,148912132748.879,96322180403.6689,77716125372.072
"Afghanistan",2040,151666381489.246,96180133337.1903,76848104014.7911
"Afghanistan",2041,154420630229.613,96006623994.8091,75964717596.7552
"Afghanistan",2042,157174878969.981,95802940803.7494,75067597544.0901
"Afghanistan",2043,159929127710.349,95570333760.8993,74158293283.128
"Afghanistan",2044,162683376450.716,95310015444.5258,73238275633.0974
"Afghanistan",2045,165437625191.083,95023162001.0893,72308940070.7443
"Afghanistan",2046,168191873931.45,94710914107.7435,71371609871.4637
"Afghanistan",2047,170946122671.817,94374377911.099,70427539131.3705
"Afghanistan",2048,173700371412.185,94014625942.8096,69477915674.5781
"Afghanistan",2049,176454620152.552,93632698012.526,68523863849.8068
"Afghanistan",2050,179208868892.919,93229602078.7614,67566447220.3072
"Albania",2015,35616826409.6902,37055746196.6417,37785891138.0403
"Albania",2016,36797517325.3688,37533467671.8762,37901442845.1299
"Albania",2017,38196779248.2451,38196779248.2451,38196779248.2451
"Albania",2018,39732039820.7777,38952980216.4487,38574795942.5026
"Albania",2019,40551539977.1009,38976874257.1135,38223715691.4892
"Albania",2020,40846953445.9478,38490996530.32,37380748756.0459
"Albania",2021,41730264378.5054,38552313872.9594,37076799406.3995
"Albania",2022,42613575311.063,38596428076.2372,36758844397.3391
"Albania",2023,43496886243.6206,38623990198.5433,36427957443.7921
"Albania",2024,44380197176.1782,38635632380.6144,36085161595.6948
"Albania",2025,45263508108.7358,38631968337.0915,35731431278.4797
"Albania",2026,46146819041.2935,38613593836.075,35367694257.6808
"Albania",2027,47030129973.8511,38581087166.9563,34994833530.3447
"Albania",2028,47913440906.4087,38535009596.805,34613689145.8471
"Albania",2029,48796751838.9663,38475905815.5766,34225059958.6204
"Albania",2030,49680062771.5239,38404304370.4068,33829705315.2144
"Albania",2031,50563373704.0815,38320718089.2476,33428346678.0292
"Albania",2032,51446684636.6392,38225644494.097,33021669187.978
"Albania",2033,52329995569.1968,38119566204.0658,32610323168.2585
"Albania",2034,53213306501.7544,38002951328.5249,32194925571.3399
"Albania",2035,54096617434.312,37876253850.5623,31776061371.1958
"Albania",2036,54979928366.8696,37739914000.9825,31354284902.7463
"Albania",2037,55863239299.4272,37594358623.0699,30930121150.402
"Albania",2038,56746550231.9849,37440001528.3355,30504066987.5407
"Albania",2039,57629861164.5425,37277243843.4587,30076592368.6793
"Albania",2040,58513172097.1001,37106474348.6354,29648141476.0472
"Albania",2041,59396483029.6577,36928069807.5331,29219133822.2057
"Albania",2042,60279793962.2153,36742395289.0544,28789965310.2994
"Albania",2043,61163104894.7729,36549804481.1013,28361009253.4743
"Albania",2044,62046415827.3306,36350639996.5325,27932617354.9419
"Albania",2045,62929726759.8882,36145233671.4964,27505120650.1139
"Albania",2046,63813037692.4458,35933906856.3247,27078830412.1905
"Albania",2047,64696348625.0034,35716970699.1599,26654039022.5265
"Albania",2048,65579659557.561,35494726422.4928,26231020807.064
"Albania",2049,66462970490.1187,35267465592.7773,25810032840.0653
"Albania",2050,67346281422.6763,35035470383.2879,25391315716.3452
"Algeria",2015,515464285396.609,536289042526.632,546856060377.262
"Algeria",2016,535567392527.076,546278740377.617,551634414302.888
"Algeria",2017,543600903414.983,543600903414.983,543600903414.983
"Algeria",2018,551211316062.792,540403251041.953,535156617536.691
"Algeria",2019,556172217907.357,534575372844.442,524245657373.322
"Algeria",2020,579560913168.117,546133192708.797,530380335772.903
"Algeria",2021,593135032624.961,547965086906.658,526992794152.327
"Algeria",2022,606709152081.801,549515171646.271,523352644152.029
"Algeria",2023,620283271538.641,550793793975.14,519477474597.844
"Algeria",2024,633857390995.48,551811003520.774,515384064020.67
"Algeria",2025,647431510452.32,552576560176.125,511088412936.881
"Algeria",2026,661005629909.16,553099941597.963,506605774935.719
"Algeria",2027,674579749366,553390350522.606,501950686615.798
"Algeria",2028,688153868822.844,553456721903.265,497136996411.376
"Algeria",2029,701727988279.684,553307729873.175,492177892347.661
"Algeria",2030,715302107736.523,552951794538.65,487085928763.13
"Algeria",2031,728876227193.363,552397088605.99,481873052035.429
"Algeria",2032,742450346650.203,551651543846.183,476550625346.267
"Algeria",2033,756024466107.043,550722857401.214,471129452519.447
"Algeria",2034,769598585563.883,549618497935.693,465619800965.023
"Algeria",2035,783172705020.723,548345711637.446,460031423761.43
"Algeria",2036,796746824477.562,546911528070.642,454373580906.327
"Algeria",2037,810320943934.406,545322765884.917,448655059765.865
"Algeria",2038,823895063391.246,543586038383.877,442884194751.016
"Algeria",2039,837469182848.086,541707758956.355,437068886248.683
"Algeria",2040,851043302304.926,539694146373.595,431216618834.264
"Algeria",2041,864617421761.766,537551229955.573,425334478791.499
