"country","disease","year","bar_Kt","bar_Yt","bar_Yt_lower","bar_Yt_upper","Kt","Yt","diff_Kt","diff_Yt","rou","diff_Yt_lower","diff_Yt_upper"
"Albania","Appendicitis",2015,201283375000,35616826409.6902,35616826409.6902,35616826409.6902,201283375000,35616826409.6902,0,0,1,0,0
"Albania","Appendicitis",2016,197708776222.314,36797541975.2047,36797541975.2047,36797541975.2047,197708776222.314,36797517325.3688,0,24649.8359298706,1,24649.8359298706,24649.8359298706
"Albania","Appendicitis",2017,194529186270.973,38196911909.2503,38196899974.9347,38196925616.6922,194528035374.559,38196779248.2451,1150896.41415405,132661.005210876,1,120726.689567566,146368.447097778
"Albania","Appendicitis",2018,191763656804.717,39732292769.7268,39732266840.646,39732322551.1724,191761284328.14,39732039820.7777,2372476.57754517,252948.94908905,1,227019.868270874,282730.394706726
"Albania","Appendicitis",2019,189416276971.497,40551921301.609,40551879851.7745,40551968909.7466,189412603250.303,40551539977.1009,3673721.19329834,381324.508110046,1,339874.673591614,428932.645690918
"Albania","Appendicitis",2020,187335736764.896,40847468138.0826,40847409989.82,40847534925.5303,187330673393.071,40846953445.9478,5063371.82418823,514692.134849548,1,456543.872192383,581479.582588196
"Albania","Appendicitis",2021,185413216124.78,41730934054.0466,41730856435.3899,41731023204.5729,185406665890.522,41730264378.5054,6550234.25796509,669675.541183472,1,592056.884498596,758826.067504883
"Albania","Appendicitis",2022,183747949452.374,42614416484.985,42614317033.4647,42614530712.0115,183739802583.255,42613575311.063,8146869.11877441,841173.9220047,1,741722.401672363,955400.948547363
"Albania","Appendicitis",2023,182327091817.733,43497918806.0932,43497794935.356,43498061080.1749,182317226261.505,43496886243.6206,9865556.22845459,1032562.47255707,1,908691.735435486,1174836.55430603
"Albania","Appendicitis",2024,181138442549.893,44381442439.8208,44381291319.8951,44381616011.3105,181126722575.997,44380197176.1782,11719973.895874,1245263.64260101,1,1094143.71685028,1418835.13231659
"Albania","Appendicitis",2025,180170412800.434,45264990290.774,45264808826.5286,45265198714.5596,180156687894.918,45263508108.7358,13724905.5158997,1482182.03819275,1,1300717.79275513,1690605.82377625
"Albania","Appendicitis",2026,179411995367.272,46148559854.7157,46148344662.3737,46148807017.1922,179396098768.047,46146819041.2935,15896599.2242126,1740813.42225647,1,1525621.08023071,1987975.89870453
"Albania","Appendicitis",2027,178852734785.384,47032155645.8512,47031903027.2876,47032445794.4367,178834482917.675,47030129973.8511,18251867.7093201,2025672.00016785,1,1773053.43650818,2315820.58561707
"Albania","Appendicitis",2028,178482701192.338,47915782241.2082,47915488155.8895,47916120016.5674,178461891679.974,47913440906.4087,20809512.3637695,2341334.79949951,1,2047249.48075867,2679110.15868378
"Albania","Appendicitis",2029,178292464249.627,48799442155.2807,48799102189.6124,48799832626.5246,178268873824.313,48796751838.9663,23590425.3137817,2690316.31435394,1,2350350.64606476,3080787.55831146
"Albania","Appendicitis",2030,178273067998.678,49683138532.8576,49682747866.6633,49683587236.0367,178246450681.59,49680062771.5239,26617317.0883484,3075761.3336792,1,2685095.13941956,3524464.51277924
"Albania","Appendicitis",2031,178416007484.404,50566874574.8092,50566427944.6862,50567387554.9919,178386092516.156,50563373704.0815,29914968.2480774,3500870.72760773,1,3054240.6046524,4013850.91038513
"Albania","Appendicitis",2032,178713206464.517,51450653986.9989,51450145646.2488,51451237844.2831,178679696079.149,51446684636.6392,33510385.3681335,3969350.3597641,1,3461009.6096344,4553207.64394379
"Albania","Appendicitis",2033,179156996338.764,52334480754.5256,52333904429.3435,52335142694.3438,179119563284.146,52329995569.1968,37433054.6182861,4485185.32879639,1,3908860.14674377,5147125.14704895
"Albania","Appendicitis",2034,179740096116.414,53218359207.2999,53217708048.8718,53219107095.4236,179698380949.047,53213306501.7544,41715167.3667297,5052705.5455246,1,4401547.11742401,5800593.6692276
"Albania","Appendicitis",2035,180455593425.592,54102294051.6368,54101560583.7634,54103136474.3139,180409201550.857,54096617434.312,46391874.7347107,5676617.32475281,1,4943149.45135498,6519040.00188446
"Albania","Appendicitis",2036,181296926508.872,54986290429.0791,54985466490.9124,54987236758.7826,181245424942.731,54979928366.8696,51501566.1412048,6362062.20944214,1,5538124.04280853,7308391.91300201
"Albania","Appendicitis",2037,182257867163.697,55870353969.8443,55869430653.2845,55871414437.1494,182200780985.165,55863239299.4272,57086178.531189,7114670.41706848,1,6191353.85726929,8175137.72212219
