"disease","beta0","beta1_DALYs","beta2_HighSDI","beta3_High-middle","beta4_Low-middle","beta5_Low","p_beta0","p_DALYs","p_HighSDI","p_High-middle","p_Low-middle","p_Low","R_squared"
"Appendicitis","-13.428389","0.039570","-0.750735","-0.399713","0.429265","0.872895","<0.001","<0.001","<0.001","0.013","0.007","<0.001",0.788525967823448
"Cirrhosis and other chronic liver diseases","-8.6384520958","0.0008107097","-0.2788042255","-0.4252195719","0.5612847082","0.5245007905","<0.001","<0.001","0.140","0.008","<0.001","0.007",0.9329
"Colon and rectum cancer","-9.0496396784","0.0009756867","-0.1120296068","0.0181903603","-0.0011853432","-0.2185411074","<0.001","<0.001","0.158","0.835","0.989","0.030",0.7759
"Esophageal cancer","-10.8195590988","0.0075025702","-0.0778059397","0.0236804448","0.3839811648","0.7651152976","<0.001","<0.001","0.376","0.791","<0.001","<0.001",0.8332
"Gastritis and duodenitis","-12.9036133701","0.0242800691","-0.6394983112","-0.3744710425","0.2214357103","-0.1771233852","<0.001","<0.001","<0.001","0.039","0.174","0.304",0.7693
"Inflammatory bowel disease","-12.8520624285","0.0119657649","0.4524103108","0.4859983754","0.5701525372","1.2585884575","<0.001","<0.001","0.005","0.003","<0.001","<0.001",0.8729
"Inguinal, femoral, and abdominal hernia","-11.9383095214","0.0207285079","-1.2199567618","-0.9078817026","-0.1726147315","0.1559158846","<0.001","<0.001","<0.001","<0.001","<0.001","0.109",0.9325
"Liver cancer","-10.2430237920","0.0043233432","-0.1716283511","-0.1562504494","0.1496000326","0.2925838704","<0.001","<0.001","0.095","0.137","0.153","0.021",0.6588
"Pancreatic cancer","-9.7437363315","0.0020442108","-0.0100620603","0.1057808955","-0.0279180410","-0.4418524459","<0.001","<0.001","0.914","0.258","0.768","<0.001",0.7973
"Pancreatitis","-11.642018","0.0077060554","-0.071330","0.051330","0.354818","0.377268","<0.001","<0.001","0.444","0.617","<0.001","<0.001",0.75691241578907
"Paralytic ileus and intestinal obstruction","-11.287220","0.0074300204","-0.693383","-0.354318","0.351089","0.755624","<0.001","<0.001","<0.001","0.010","0.013","<0.001",0.78317628379347
"Peptic ulcer disease","-11.185277","0.0072859558","-0.611113","-0.242292","0.488358","0.705255","<0.001","<0.001","<0.001","0.101","0.002","<0.001",0.787784729709399
"Stomach cancer","-9.626345","0.0025123285","-0.499959","-0.214919","0.294972","0.421536","<0.001","<0.001","<0.001","0.004","<0.001","<0.001",0.839671961400482
