"country","year","age_grp","avg_schooling"
"Afghanistan",2015,"15-19",4.58807692307693
"Afghanistan",2015,"20-24",5.11999999999998
"Afghanistan",2015,"25-29",4.70076923076923
"Afghanistan",2015,"30-34",3.84653846153844
"Afghanistan",2015,"35-39",3.36538461538463
"Afghanistan",2015,"40-44",2.94192307692308
"Afghanistan",2015,"45-49",2.31461538461538
"Afghanistan",2015,"50-54",1.80923076923077
"Afghanistan",2015,"55-59",1.32653846153845
"Afghanistan",2015,"60-64",0.960000000000001
"Afghanistan",2015,"65-999",0.456267324229994
"Afghanistan",2016,"15-19",4.65729670329671
"Afghanistan",2016,"20-24",5.20070329670327
"Afghanistan",2016,"25-29",4.7783956043956
"Afghanistan",2016,"30-34",3.91081318681319
"Afghanistan",2016,"35-39",3.42378021978023
"Afghanistan",2016,"40-44",2.99485714285714
"Afghanistan",2016,"45-49",2.35685714285714
"Afghanistan",2016,"50-54",1.84265934065934
"Afghanistan",2016,"55-59",1.35107692307692
"Afghanistan",2016,"60-64",0.977626373626372
"Afghanistan",2016,"65-999",0.464019488086032
"Afghanistan",2017,"15-19",4.72651648351649
"Afghanistan",2017,"20-24",5.28140659340656
"Afghanistan",2017,"25-29",4.85602197802197
"Afghanistan",2017,"30-34",3.9750879120879
"Afghanistan",2017,"35-39",3.48217582417583
"Afghanistan",2017,"40-44",3.04779120879121
"Afghanistan",2017,"45-49",2.3990989010989
"Afghanistan",2017,"50-54",1.87608791208791
"Afghanistan",2017,"55-59",1.37561538461538
"Afghanistan",2017,"60-64",0.995252747252742
"Afghanistan",2017,"65-999",0.471771651942072
"Afghanistan",2018,"15-19",4.79573626373627
"Afghanistan",2018,"20-24",5.36210989010985
"Afghanistan",2018,"25-29",4.93364835164834
"Afghanistan",2018,"30-34",4.03936263736264
"Afghanistan",2018,"35-39",3.54057142857144
"Afghanistan",2018,"40-44",3.10072527472528
"Afghanistan",2018,"45-49",2.44134065934065
"Afghanistan",2018,"50-54",1.90951648351648
"Afghanistan",2018,"55-59",1.40015384615384
"Afghanistan",2018,"60-64",1.01287912087912
"Afghanistan",2018,"65-999",0.47952381579811
"Afghanistan",2019,"15-19",4.86495604395606
"Afghanistan",2019,"20-24",5.44281318681314
"Afghanistan",2019,"25-29",5.01127472527472
"Afghanistan",2019,"30-34",4.10363736263736
"Afghanistan",2019,"35-39",3.59896703296704
"Afghanistan",2019,"40-44",3.15365934065935
"Afghanistan",2019,"45-49",2.48358241758241
"Afghanistan",2019,"50-54",1.94294505494506
"Afghanistan",2019,"55-59",1.4246923076923
"Afghanistan",2019,"60-64",1.03050549450549
"Afghanistan",2019,"65-999",0.48727597965415
"Afghanistan",2020,"15-19",4.93417582417584
"Afghanistan",2020,"20-24",5.52351648351646
"Afghanistan",2020,"25-29",5.08890109890109
"Afghanistan",2020,"30-34",4.16791208791207
"Afghanistan",2020,"35-39",3.65736263736264
"Afghanistan",2020,"40-44",3.20659340659341
"Afghanistan",2020,"45-49",2.52582417582417
"Afghanistan",2020,"50-54",1.97637362637363
"Afghanistan",2020,"55-59",1.44923076923076
"Afghanistan",2020,"60-64",1.04813186813187
"Afghanistan",2020,"65-999",0.49502814351019
"Afghanistan",2021,"15-19",5.00339560439559
"Afghanistan",2021,"20-24",5.60421978021975
"Afghanistan",2021,"25-29",5.16652747252746
"Afghanistan",2021,"30-34",4.23218681318681
"Afghanistan",2021,"35-39",3.71575824175825
"Afghanistan",2021,"40-44",3.25952747252748
"Afghanistan",2021,"45-49",2.56806593406593
"Afghanistan",2021,"50-54",2.0098021978022
"Afghanistan",2021,"55-59",1.47376923076922
"Afghanistan",2021,"60-64",1.06575824175824
"Afghanistan",2021,"65-999",0.502780307366228
"Afghanistan",2022,"15-19",5.07261538461537
"Afghanistan",2022,"20-24",5.68492307692304
"Afghanistan",2022,"25-29",5.24415384615384
"Afghanistan",2022,"30-34",4.29646153846153
"Afghanistan",2022,"35-39",3.77415384615385
"Afghanistan",2022,"40-44",3.31246153846153
"Afghanistan",2022,"45-49",2.61030769230769
"Afghanistan",2022,"50-54",2.04323076923077
"Afghanistan",2022,"55-59",1.49830769230768
"Afghanistan",2022,"60-64",1.08338461538461
"Afghanistan",2022,"65-999",0.510532471222268
"Afghanistan",2023,"15-19",5.14183516483516
"Afghanistan",2023,"20-24",5.76562637362633
"Afghanistan",2023,"25-29",5.32178021978021
"Afghanistan",2023,"30-34",4.36073626373624
"Afghanistan",2023,"35-39",3.83254945054945
"Afghanistan",2023,"40-44",3.3653956043956
"Afghanistan",2023,"45-49",2.65254945054944
"Afghanistan",2023,"50-54",2.07665934065933
"Afghanistan",2023,"55-59",1.52284615384615
"Afghanistan",2023,"60-64",1.10101098901099
"Afghanistan",2023,"65-999",0.518284635078306
"Afghanistan",2024,"15-19",5.21105494505494
"Afghanistan",2024,"20-24",5.84632967032962
"Afghanistan",2024,"25-29",5.39940659340658
"Afghanistan",2024,"30-34",4.42501098901099
"Afghanistan",2024,"35-39",3.89094505494506
"Afghanistan",2024,"40-44",3.41832967032967
"Afghanistan",2024,"45-49",2.6947912087912
"Afghanistan",2024,"50-54",2.11008791208791
"Afghanistan",2024,"55-59",1.54738461538461
"Afghanistan",2024,"60-64",1.11863736263736
"Afghanistan",2024,"65-999",0.526036798934346
"Afghanistan",2025,"15-19",5.28027472527472
"Afghanistan",2025,"20-24",5.92703296703294
"Afghanistan",2025,"25-29",5.47703296703295
"Afghanistan",2025,"30-34",4.4892857142857
"Afghanistan",2025,"35-39",3.94934065934066
"Afghanistan",2025,"40-44",3.47126373626374
"Afghanistan",2025,"45-49",2.73703296703296
"Afghanistan",2025,"50-54",2.14351648351648
"Afghanistan",2025,"55-59",1.57192307692307
"Afghanistan",2025,"60-64",1.13626373626374
"Afghanistan",2025,"65-999",0.533788962790384
"Afghanistan",2026,"15-19",5.3494945054945
"Afghanistan",2026,"20-24",6.00773626373623
"Afghanistan",2026,"25-29",5.55465934065933
"Afghanistan",2026,"30-34",4.55356043956044
"Afghanistan",2026,"35-39",4.00773626373626
"Afghanistan",2026,"40-44",3.5241978021978
"Afghanistan",2026,"45-49",2.77927472527472
"Afghanistan",2026,"50-54",2.17694505494505
"Afghanistan",2026,"55-59",1.59646153846153
"Afghanistan",2026,"60-64",1.15389010989011
"Afghanistan",2026,"65-999",0.541541126646424
"Afghanistan",2027,"15-19",5.41871428571429
"Afghanistan",2027,"20-24",6.08843956043953
"Afghanistan",2027,"25-29",5.6322857142857
"Afghanistan",2027,"30-34",4.61783516483516
"Afghanistan",2027,"35-39",4.06613186813188
"Afghanistan",2027,"40-44",3.57713186813187
"Afghanistan",2027,"45-49",2.82151648351648
"Afghanistan",2027,"50-54",2.21037362637362
"Afghanistan",2027,"55-59",1.621
"Afghanistan",2027,"60-64",1.17151648351648
"Afghanistan",2027,"65-999",0.549293290502463
"Afghanistan",2028,"15-19",5.48793406593407
"Afghanistan",2028,"20-24",6.16914285714282
"Afghanistan",2028,"25-29",5.70991208791207
"Afghanistan",2028,"30-34",4.68210989010987
"Afghanistan",2028,"35-39",4.12452747252748
"Afghanistan",2028,"40-44",3.63006593406594
"Afghanistan",2028,"45-49",2.86375824175823
"Afghanistan",2028,"50-54",2.2438021978022
"Afghanistan",2028,"55-59",1.64553846153845
"Afghanistan",2028,"60-64",1.18914285714285
"Afghanistan",2028,"65-999",0.557045454358502
"Afghanistan",2029,"15-19",5.55715384615385
"Afghanistan",2029,"20-24",6.24984615384611
"Afghanistan",2029,"25-29",5.78753846153845
"Afghanistan",2029,"30-34",4.74638461538461
"Afghanistan",2029,"35-39",4.18292307692309
"Afghanistan",2029,"40-44",3.68300000000001
"Afghanistan",2029,"45-49",2.90599999999999
"Afghanistan",2029,"50-54",2.27723076923077
"Afghanistan",2029,"55-59",1.67007692307691
"Afghanistan",2029,"60-64",1.20676923076923
"Afghanistan",2029,"65-999",0.564797618214541
"Afghanistan",2030,"15-19",5.62637362637363
"Afghanistan",2030,"20-24",6.33054945054943
"Afghanistan",2030,"25-29",5.86516483516482
"Afghanistan",2030,"30-34",4.81065934065933
"Afghanistan",2030,"35-39",4.24131868131869
"Afghanistan",2030,"40-44",3.73593406593406
"Afghanistan",2030,"45-49",2.94824175824175
"Afghanistan",2030,"50-54",2.31065934065934
"Afghanistan",2030,"55-59",1.69461538461537
"Afghanistan",2030,"60-64",1.2243956043956
"Afghanistan",2030,"65-999",0.572549782070579
"Afghanistan",2031,"15-19",5.69559340659342
"Afghanistan",2031,"20-24",6.41125274725272
"Afghanistan",2031,"25-29",5.94279120879119
"Afghanistan",2031,"30-34",4.87493406593407
"Afghanistan",2031,"35-39",4.29971428571429
"Afghanistan",2031,"40-44",3.78886813186813
"Afghanistan",2031,"45-49",2.99048351648351
"Afghanistan",2031,"50-54",2.34408791208791
"Afghanistan",2031,"55-59",1.71915384615384
"Afghanistan",2031,"60-64",1.24202197802197
"Afghanistan",2031,"65-999",0.580301945926619
"Afghanistan",2032,"15-19",5.76481318681317
"Afghanistan",2032,"20-24",6.49195604395601
"Afghanistan",2032,"25-29",6.02041758241756
"Afghanistan",2032,"30-34",4.93920879120878
"Afghanistan",2032,"35-39",4.3581098901099
"Afghanistan",2032,"40-44",3.8418021978022
"Afghanistan",2032,"45-49",3.03272527472527
"Afghanistan",2032,"50-54",2.37751648351649
"Afghanistan",2032,"55-59",1.7436923076923
"Afghanistan",2032,"60-64",1.25964835164834
"Afghanistan",2032,"65-999",0.588054109782659
"Afghanistan",2033,"15-19",5.83403296703295
"Afghanistan",2033,"20-24",6.5726593406593
"Afghanistan",2033,"25-29",6.09804395604394
"Afghanistan",2033,"30-34",5.0034835164835
"Afghanistan",2033,"35-39",4.4165054945055
"Afghanistan",2033,"40-44",3.89473626373626
"Afghanistan",2033,"45-49",3.07496703296702
"Afghanistan",2033,"50-54",2.41094505494505
"Afghanistan",2033,"55-59",1.76823076923076
"Afghanistan",2033,"60-64",1.27727472527472
"Afghanistan",2033,"65-999",0.595806273638697
"Afghanistan",2034,"15-19",5.90325274725274
"Afghanistan",2034,"20-24",6.65336263736259
"Afghanistan",2034,"25-29",6.17567032967031
"Afghanistan",2034,"30-34",5.06775824175824
"Afghanistan",2034,"35-39",4.4749010989011
"Afghanistan",2034,"40-44",3.94767032967033
"Afghanistan",2034,"45-49",3.11720879120878
"Afghanistan",2034,"50-54",2.44437362637362
"Afghanistan",2034,"55-59",1.79276923076922
"Afghanistan",2034,"60-64",1.29490109890109
"Afghanistan",2034,"65-999",0.603558437494737
"Afghanistan",2035,"15-19",5.97247252747252
"Afghanistan",2035,"20-24",6.73406593406591
"Afghanistan",2035,"25-29",6.25329670329668
"Afghanistan",2035,"30-34",5.13203296703296
"Afghanistan",2035,"35-39",4.53329670329671
"Afghanistan",2035,"40-44",4.0006043956044
"Afghanistan",2035,"45-49",3.15945054945054
"Afghanistan",2035,"50-54",2.47780219780219
"Afghanistan",2035,"55-59",1.81730769230769
"Afghanistan",2035,"60-64",1.31252747252747
"Afghanistan",2035,"65-999",0.611310601350775
"Afghanistan",2036,"15-19",6.0416923076923
"Afghanistan",2036,"20-24",6.8147692307692
"Afghanistan",2036,"25-29",6.33092307692306
"Afghanistan",2036,"30-34",5.19630769230767
"Afghanistan",2036,"35-39",4.59169230769231
"Afghanistan",2036,"40-44",4.05353846153847
"Afghanistan",2036,"45-49",3.2016923076923
"Afghanistan",2036,"50-54",2.51123076923076
"Afghanistan",2036,"55-59",1.84184615384614
"Afghanistan",2036,"60-64",1.33015384615384
"Afghanistan",2036,"65-999",0.619062765206815
"Afghanistan",2037,"15-19",6.11091208791208
"Afghanistan",2037,"20-24",6.89547252747249
"Afghanistan",2037,"25-29",6.40854945054943
"Afghanistan",2037,"30-34",5.26058241758241
"Afghanistan",2037,"35-39",4.65008791208791
"Afghanistan",2037,"40-44",4.10647252747252
"Afghanistan",2037,"45-49",3.24393406593406
"Afghanistan",2037,"50-54",2.54465934065934
"Afghanistan",2037,"55-59",1.8663846153846
"Afghanistan",2037,"60-64",1.34778021978022
"Afghanistan",2037,"65-999",0.626814929062855
"Afghanistan",2038,"15-19",6.18013186813187
"Afghanistan",2038,"20-24",6.97617582417578
"Afghanistan",2038,"25-29",6.4861758241758
"Afghanistan",2038,"30-34",5.32485714285713
"Afghanistan",2038,"35-39",4.70848351648353
"Afghanistan",2038,"40-44",4.15940659340659
"Afghanistan",2038,"45-49",3.28617582417581
"Afghanistan",2038,"50-54",2.57808791208791
"Afghanistan",2038,"55-59",1.89092307692307
"Afghanistan",2038,"60-64",1.36540659340659
"Afghanistan",2038,"65-999",0.634567092918893
"Afghanistan",2039,"15-19",6.24935164835165
"Afghanistan",2039,"20-24",7.05687912087907
"Afghanistan",2039,"25-29",6.56380219780218
"Afghanistan",2039,"30-34",5.38913186813187
"Afghanistan",2039,"35-39",4.76687912087912
"Afghanistan",2039,"40-44",4.21234065934065
"Afghanistan",2039,"45-49",3.32841758241757
"Afghanistan",2039,"50-54",2.61151648351648
"Afghanistan",2039,"55-59",1.91546153846153
"Afghanistan",2039,"60-64",1.38303296703296
"Afghanistan",2039,"65-999",0.642319256774933
"Afghanistan",2040,"15-19",6.31857142857143
"Afghanistan",2040,"20-24",7.13758241758237
"Afghanistan",2040,"25-29",6.64142857142855
"Afghanistan",2040,"30-34",5.45340659340658
"Afghanistan",2040,"35-39",4.82527472527472
"Afghanistan",2040,"40-44",4.26527472527472
"Afghanistan",2040,"45-49",3.37065934065933
"Afghanistan",2040,"50-54",2.64494505494505
"Afghanistan",2040,"55-59",1.93999999999999
"Afghanistan",2040,"60-64",1.40065934065934
"Afghanistan",2040,"65-999",0.650071420630971
"Afghanistan",2041,"15-19",6.38779120879121
"Afghanistan",2041,"20-24",7.21828571428568
"Afghanistan",2041,"25-29",6.71905494505492
"Afghanistan",2041,"30-34",5.5176813186813
"Afghanistan",2041,"35-39",4.88367032967034
"Afghanistan",2041,"40-44",4.31820879120879
"Afghanistan",2041,"45-49",3.41290109890109
"Afghanistan",2041,"50-54",2.67837362637363
"Afghanistan",2041,"55-59",1.96453846153845
"Afghanistan",2041,"60-64",1.41828571428571
"Afghanistan",2041,"65-999",0.65782358448701
"Afghanistan",2042,"15-19",6.457010989011
"Afghanistan",2042,"20-24",7.29898901098898
"Afghanistan",2042,"25-29",6.79668131868129
"Afghanistan",2042,"30-34",5.58195604395604
"Afghanistan",2042,"35-39",4.94206593406594
"Afghanistan",2042,"40-44",4.37114285714286
"Afghanistan",2042,"45-49",3.45514285714285
"Afghanistan",2042,"50-54",2.7118021978022
"Afghanistan",2042,"55-59",1.98907692307692
"Afghanistan",2042,"60-64",1.43591208791209
"Afghanistan",2042,"65-999",0.665575748343048
"Afghanistan",2043,"15-19",6.52623076923075
"Afghanistan",2043,"20-24",7.37969230769227
"Afghanistan",2043,"25-29",6.87430769230767
"Afghanistan",2043,"30-34",5.64623076923075
"Afghanistan",2043,"35-39",5.00046153846154
"Afghanistan",2043,"40-44",4.42407692307692
"Afghanistan",2043,"45-49",3.4973846153846
"Afghanistan",2043,"50-54",2.74523076923076
"Afghanistan",2043,"55-59",2.01361538461538
"Afghanistan",2043,"60-64",1.45353846153846
"Afghanistan",2043,"65-999",0.673327912199088
"Afghanistan",2044,"15-19",6.59545054945053
"Afghanistan",2044,"20-24",7.46039560439556
"Afghanistan",2044,"25-29",6.95193406593404
"Afghanistan",2044,"30-34",5.71050549450547
"Afghanistan",2044,"35-39",5.05885714285715
"Afghanistan",2044,"40-44",4.47701098901099
"Afghanistan",2044,"45-49",3.53962637362636
"Afghanistan",2044,"50-54",2.77865934065933
"Afghanistan",2044,"55-59",2.03815384615383
"Afghanistan",2044,"60-64",1.47116483516483
"Afghanistan",2044,"65-999",0.681080076055128
"Afghanistan",2045,"15-19",6.66467032967032
"Afghanistan",2045,"20-24",7.54109890109885
"Afghanistan",2045,"25-29",7.02956043956041
"Afghanistan",2045,"30-34",5.77478021978021
"Afghanistan",2045,"35-39",5.11725274725275
"Afghanistan",2045,"40-44",4.52994505494505
"Afghanistan",2045,"45-49",3.58186813186812
"Afghanistan",2045,"50-54",2.8120879120879
"Afghanistan",2045,"55-59",2.06269230769229
"Afghanistan",2045,"60-64",1.48879120879121
"Afghanistan",2045,"65-999",0.688832239911166
"Afghanistan",2046,"15-19",6.7338901098901
"Afghanistan",2046,"20-24",7.62180219780217
"Afghanistan",2046,"25-29",7.10718681318679
"Afghanistan",2046,"30-34",5.83905494505493
"Afghanistan",2046,"35-39",5.17564835164835
"Afghanistan",2046,"40-44",4.58287912087911
"Afghanistan",2046,"45-49",3.62410989010988
"Afghanistan",2046,"50-54",2.84551648351648
"Afghanistan",2046,"55-59",2.08723076923076
"Afghanistan",2046,"60-64",1.50641758241758
"Afghanistan",2046,"65-999",0.696584403767206
"Afghanistan",2047,"15-19",6.80310989010988
"Afghanistan",2047,"20-24",7.70250549450546
"Afghanistan",2047,"25-29",7.18481318681316
"Afghanistan",2047,"30-34",5.90332967032967
"Afghanistan",2047,"35-39",5.23404395604396
"Afghanistan",2047,"40-44",4.63581318681318
"Afghanistan",2047,"45-49",3.66635164835164
"Afghanistan",2047,"50-54",2.87894505494505
"Afghanistan",2047,"55-59",2.11176923076922
"Afghanistan",2047,"60-64",1.52404395604395
"Afghanistan",2047,"65-999",0.704336567623244
"Afghanistan",2048,"15-19",6.87232967032966
"Afghanistan",2048,"20-24",7.78320879120875
"Afghanistan",2048,"25-29",7.26243956043953
"Afghanistan",2048,"30-34",5.96760439560438
"Afghanistan",2048,"35-39",5.29243956043956
"Afghanistan",2048,"40-44",4.68874725274725
"Afghanistan",2048,"45-49",3.70859340659339
"Afghanistan",2048,"50-54",2.91237362637362
"Afghanistan",2048,"55-59",2.13630769230768
"Afghanistan",2048,"60-64",1.54167032967032
"Afghanistan",2048,"65-999",0.712088731479284
"Afghanistan",2049,"15-19",6.94154945054945
"Afghanistan",2049,"20-24",7.86391208791204
"Afghanistan",2049,"25-29",7.3400659340659
"Afghanistan",2049,"30-34",6.0318791208791
"Afghanistan",2049,"35-39",5.35083516483516
"Afghanistan",2049,"40-44",4.74168131868132
"Afghanistan",2049,"45-49",3.75083516483515
"Afghanistan",2049,"50-54",2.94580219780219
"Afghanistan",2049,"55-59",2.16084615384614
"Afghanistan",2049,"60-64",1.5592967032967
"Afghanistan",2049,"65-999",0.719840895335324
"Afghanistan",2050,"15-19",7.01076923076923
"Afghanistan",2050,"20-24",7.94461538461533
"Afghanistan",2050,"25-29",7.41769230769228
"Afghanistan",2050,"30-34",6.09615384615384
"Afghanistan",2050,"35-39",5.40923076923077
"Afghanistan",2050,"40-44",4.79461538461538
"Afghanistan",2050,"45-49",3.79307692307691
"Afghanistan",2050,"50-54",2.97923076923077
"Afghanistan",2050,"55-59",2.18538461538461
"Afghanistan",2050,"60-64",1.57692307692307
"Afghanistan",2050,"65-999",0.727593059191362
"Albania",2015,"15-19",11.9992307692307
"Albania",2015,"20-24",12.9534615384615
"Albania",2015,"25-29",12.5734615384616
"Albania",2015,"30-34",12.5442307692308
"Albania",2015,"35-39",12.3153846153846
"Albania",2015,"40-44",11.8876923076924
"Albania",2015,"45-49",11.1673076923076
"Albania",2015,"50-54",10.2326923076923
"Albania",2015,"55-59",8.91384615384618
"Albania",2015,"60-64",7.47769230769231
"Albania",2015,"65-999",6.99964087407741
"Albania",2016,"15-19",12.1297582417582
"Albania",2016,"20-24",13.0958241758241
"Albania",2016,"25-29",12.7152967032967
"Albania",2016,"30-34",12.7010989010989
"Albania",2016,"35-39",12.4813186813187
"Albania",2016,"40-44",12.0594505494506
"Albania",2016,"45-49",11.335912087912
"Albania",2016,"50-54",10.3918681318681
"Albania",2016,"55-59",9.05358241758239
"Albania",2016,"60-64",7.59597802197803
"Albania",2016,"65-999",7.11003315452493
"Albania",2017,"15-19",12.2602857142857
"Albania",2017,"20-24",13.2381868131868
"Albania",2017,"25-29",12.8571318681319
"Albania",2017,"30-34",12.857967032967
"Albania",2017,"35-39",12.6472527472527
"Albania",2017,"40-44",12.2312087912088
"Albania",2017,"45-49",11.5045164835164
"Albania",2017,"50-54",10.551043956044
"Albania",2017,"55-59",9.19331868131866
"Albania",2017,"60-64",7.71426373626372
"Albania",2017,"65-999",7.22042543497247
"Albania",2018,"15-19",12.3908131868131
"Albania",2018,"20-24",13.3805494505494
"Albania",2018,"25-29",12.998967032967
"Albania",2018,"30-34",13.0148351648351
"Albania",2018,"35-39",12.8131868131868
"Albania",2018,"40-44",12.4029670329671
"Albania",2018,"45-49",11.6731208791208
"Albania",2018,"50-54",10.7102197802198
"Albania",2018,"55-59",9.33305494505493
"Albania",2018,"60-64",7.83254945054944
"Albania",2018,"65-999",7.33081771541998
"Albania",2019,"15-19",12.5213406593406
"Albania",2019,"20-24",13.5229120879121
"Albania",2019,"25-29",13.1408021978022
"Albania",2019,"30-34",13.1717032967033
"Albania",2019,"35-39",12.9791208791208
"Albania",2019,"40-44",12.5747252747253
"Albania",2019,"45-49",11.8417252747252
"Albania",2019,"50-54",10.8693956043956
"Albania",2019,"55-59",9.47279120879119
"Albania",2019,"60-64",7.95083516483515
"Albania",2019,"65-999",7.44120999586752
"Albania",2020,"15-19",12.6518681318681
"Albania",2020,"20-24",13.6652747252747
"Albania",2020,"25-29",13.2826373626374
"Albania",2020,"30-34",13.3285714285714
"Albania",2020,"35-39",13.1450549450549
"Albania",2020,"40-44",12.7464835164836
"Albania",2020,"45-49",12.0103296703296
"Albania",2020,"50-54",11.0285714285715
"Albania",2020,"55-59",9.61252747252746
"Albania",2020,"60-64",8.06912087912087
"Albania",2020,"65-999",7.55160227631504
"Albania",2021,"15-19",12.7823956043956
"Albania",2021,"20-24",13.8076373626374
"Albania",2021,"25-29",13.4244725274725
"Albania",2021,"30-34",13.4854395604395
"Albania",2021,"35-39",13.310989010989
"Albania",2021,"40-44",12.9182417582418
"Albania",2021,"45-49",12.178934065934
"Albania",2021,"50-54",11.1877472527473
"Albania",2021,"55-59",9.75226373626373
"Albania",2021,"60-64",8.18740659340659
"Albania",2021,"65-999",7.66199455676258
"Albania",2022,"15-19",12.9129230769231
"Albania",2022,"20-24",13.95
"Albania",2022,"25-29",13.5663076923077
"Albania",2022,"30-34",13.6423076923077
"Albania",2022,"35-39",13.4769230769231
"Albania",2022,"40-44",13.09
"Albania",2022,"45-49",12.3475384615384
"Albania",2022,"50-54",11.3469230769231
"Albania",2022,"55-59",9.892
"Albania",2022,"60-64",8.30569230769231
"Albania",2022,"65-999",7.77238683721009
"Albania",2023,"15-19",13.0434505494505
"Albania",2023,"20-24",14.0923626373626
"Albania",2023,"25-29",13.7081428571429
"Albania",2023,"30-34",13.7991758241758
