"country","disease","age_grp","zeta"
"Luxembourg","Esophageal cancer","15-19",0
"Luxembourg","Esophageal cancer","20-24",0.00514890404233573
"Luxembourg","Esophageal cancer","25-29",0.00665792695506409
"Luxembourg","Esophageal cancer","30-34",0.0079684108787385
"Luxembourg","Esophageal cancer","35-39",0.00811329926518082
"Luxembourg","Esophageal cancer","40-44",0.00831126474693012
"Luxembourg","Esophageal cancer","45-49",0.00841260385061852
"Luxembourg","Esophageal cancer","50-54",0.00813948396586871
"Luxembourg","Esophageal cancer","55-59",0.00860044376579075
"Luxembourg","Esophageal cancer","60-64",0.00903432901283822
"Luxembourg","Esophageal cancer","65-999",0.011487444851136
"Luxembourg","Liver cancer","15-19",0.00361007781585932
"Luxembourg","Liver cancer","20-24",0.00384245818330638
"Luxembourg","Liver cancer","25-29",0.00531204892457746
"Luxembourg","Liver cancer","30-34",0.00530849549366372
"Luxembourg","Liver cancer","35-39",0.00569250591444564
"Luxembourg","Liver cancer","40-44",0.00587910566754256
"Luxembourg","Liver cancer","45-49",0.00606068925220476
"Luxembourg","Liver cancer","50-54",0.0062936475364974
"Luxembourg","Liver cancer","55-59",0.006384680135845
"Luxembourg","Liver cancer","60-64",0.00710476041322339
"Luxembourg","Liver cancer","65-999",0.00962667269409081
"Gabon","Gallbladder and biliary tract cancer","15-19",0
"Gabon","Gallbladder and biliary tract cancer","20-24",0.00265016943952988
"Gabon","Gallbladder and biliary tract cancer","25-29",0.00317812435785727
"Gabon","Gallbladder and biliary tract cancer","30-34",0.00360217442997364
"Gabon","Gallbladder and biliary tract cancer","35-39",0.00414415020269508
"Gabon","Gallbladder and biliary tract cancer","40-44",0.00444609381013335
"Gabon","Gallbladder and biliary tract cancer","45-49",0.00470924945870453
"Gabon","Gallbladder and biliary tract cancer","50-54",0.00518954793385821
"Gabon","Gallbladder and biliary tract cancer","55-59",0.00567638178272494
"Gabon","Gallbladder and biliary tract cancer","60-64",0.00637600369397147
"Gabon","Gallbladder and biliary tract cancer","65-999",0.00865645293070227
"Pakistan","Esophageal cancer","15-19",0
"Pakistan","Esophageal cancer","20-24",0.00363802379913255
"Pakistan","Esophageal cancer","25-29",0.00471499840893994
"Pakistan","Esophageal cancer","30-34",0.0053408371245529
"Pakistan","Esophageal cancer","35-39",0.00550819585522605
"Pakistan","Esophageal cancer","40-44",0.00571906195284512
"Pakistan","Esophageal cancer","45-49",0.00569752610174711
"Pakistan","Esophageal cancer","50-54",0.00616416604792062
"Pakistan","Esophageal cancer","55-59",0.00679932000690944
"Pakistan","Esophageal cancer","60-64",0.00715067584907439
"Pakistan","Esophageal cancer","65-999",0.00831041342667984
"Comoros","Esophageal cancer","15-19",0
"Comoros","Esophageal cancer","20-24",0.0036446449934372
"Comoros","Esophageal cancer","25-29",0.00470857742811657
"Comoros","Esophageal cancer","30-34",0.00536378267693852
"Comoros","Esophageal cancer","35-39",0.00551917217195851
"Comoros","Esophageal cancer","40-44",0.0057062230550961
"Comoros","Esophageal cancer","45-49",0.00566527217404389
"Comoros","Esophageal cancer","50-54",0.00614089344264311
"Comoros","Esophageal cancer","55-59",0.00641817908375466
"Comoros","Esophageal cancer","60-64",0.00689599622295339
"Comoros","Esophageal cancer","65-999",0.00832196466714644
"Libya","Esophageal cancer","15-19",0
"Libya","Esophageal cancer","20-24",0.0038596069051734
"Libya","Esophageal cancer","25-29",0.00494159847158203
"Libya","Esophageal cancer","30-34",0.00601550948189923
"Libya","Esophageal cancer","35-39",0.00613129123272412
"Libya","Esophageal cancer","40-44",0.00620995270180897
"Libya","Esophageal cancer","45-49",0.00634911680932612
"Libya","Esophageal cancer","50-54",0.00675820648808552
"Libya","Esophageal cancer","55-59",0.00734030886280467
"Libya","Esophageal cancer","60-64",0.00800749743467094
"Libya","Esophageal cancer","65-999",0.0103761759876344
"Pakistan","Liver cancer","15-19",0.00267563465352696
"Pakistan","Liver cancer","20-24",0.00276872757207956
"Pakistan","Liver cancer","25-29",0.0036613834492623
"Pakistan","Liver cancer","30-34",0.00383946573888621
"Pakistan","Liver cancer","35-39",0.00412693415872977
"Pakistan","Liver cancer","40-44",0.00409025165992713
"Pakistan","Liver cancer","45-49",0.00443067105282198
"Pakistan","Liver cancer","50-54",0.0049061880951579
"Pakistan","Liver cancer","55-59",0.00536751052673994
"Pakistan","Liver cancer","60-64",0.00593741445824575
"Pakistan","Liver cancer","65-999",0.00774171459051867
"Chile","Gallbladder and biliary tract cancer","15-19",0
"Chile","Gallbladder and biliary tract cancer","20-24",0.00376372211175994
"Chile","Gallbladder and biliary tract cancer","25-29",0.00453679826899859
"Chile","Gallbladder and biliary tract cancer","30-34",0.00518774881784478
"Chile","Gallbladder and biliary tract cancer","35-39",0.00597846287341472
"Chile","Gallbladder and biliary tract cancer","40-44",0.00642040116774383
"Chile","Gallbladder and biliary tract cancer","45-49",0.00615456989630062
"Chile","Gallbladder and biliary tract cancer","50-54",0.00632720959657388
"Chile","Gallbladder and biliary tract cancer","55-59",0.00669624824030811
"Chile","Gallbladder and biliary tract cancer","60-64",0.00711043881476313
"Chile","Gallbladder and biliary tract cancer","65-999",0.00948871402655733
"Norway","Gallbladder and biliary tract cancer","15-19",0
"Norway","Gallbladder and biliary tract cancer","20-24",0.00856711840862494
"Norway","Gallbladder and biliary tract cancer","25-29",0.0105961261916332
"Norway","Gallbladder and biliary tract cancer","30-34",0.0132583855712872
"Norway","Gallbladder and biliary tract cancer","35-39",0.0140241504374871
"Norway","Gallbladder and biliary tract cancer","40-44",0.0157660059749675
"Norway","Gallbladder and biliary tract cancer","45-49",0.0128415408662167
"Norway","Gallbladder and biliary tract cancer","50-54",0.0122222911630274
"Norway","Gallbladder and biliary tract cancer","55-59",0.0139632635978306
"Norway","Gallbladder and biliary tract cancer","60-64",0.0148052782056846
"Norway","Gallbladder and biliary tract cancer","65-999",0.0214924338551572
"Sao Tome and Principe","Liver cancer","15-19",0.0024859361047249
"Sao Tome and Principe","Liver cancer","20-24",0.00258069431656455
"Sao Tome and Principe","Liver cancer","25-29",0.00366557373133985
"Sao Tome and Principe","Liver cancer","30-34",0.00373593451541989
"Sao Tome and Principe","Liver cancer","35-39",0.00405328123018275
"Sao Tome and Principe","Liver cancer","40-44",0.00403208041341958
"Sao Tome and Principe","Liver cancer","45-49",0.00440167020977985
"Sao Tome and Principe","Liver cancer","50-54",0.00485571237405467
"Sao Tome and Principe","Liver cancer","55-59",0.00533979815114597
"Sao Tome and Principe","Liver cancer","60-64",0.00590210547024668
"Sao Tome and Principe","Liver cancer","65-999",0.00813359050094789
"Comoros","Liver cancer","15-19",0.00276390520680813
"Comoros","Liver cancer","20-24",0.00279474560910666
"Comoros","Liver cancer","25-29",0.00362620950195521
"Comoros","Liver cancer","30-34",0.00382394863982503
"Comoros","Liver cancer","35-39",0.00410208624994044
"Comoros","Liver cancer","40-44",0.00406253689571357
"Comoros","Liver cancer","45-49",0.0043895410914293
"Comoros","Liver cancer","50-54",0.00486810062950677
"Comoros","Liver cancer","55-59",0.00533340474450175
"Comoros","Liver cancer","60-64",0.00589986133836195
"Comoros","Liver cancer","65-999",0.00784061062105682
"Libya","Liver cancer","15-19",0.00283665912188657
"Libya","Liver cancer","20-24",0.00290767667330363
"Libya","Liver cancer","25-29",0.00392393568250122
"Libya","Liver cancer","30-34",0.00406038313194064
"Libya","Liver cancer","35-39",0.0043470880053128
"Libya","Liver cancer","40-44",0.00432338203651651
"Libya","Liver cancer","45-49",0.00461604196928489
"Libya","Liver cancer","50-54",0.00507080569466067
"Libya","Liver cancer","55-59",0.00551171837720108
"Libya","Liver cancer","60-64",0.00608462382333193
"Libya","Liver cancer","65-999",0.00807741322950521
"Congo, Dem. Rep.","Liver cancer","15-19",0.00264931125002111
"Congo, Dem. Rep.","Liver cancer","20-24",0.00272685050722828
"Congo, Dem. Rep.","Liver cancer","25-29",0.00362490192041887
"Congo, Dem. Rep.","Liver cancer","30-34",0.00381450284390431
"Congo, Dem. Rep.","Liver cancer","35-39",0.00408257366109876
"Congo, Dem. Rep.","Liver cancer","40-44",0.00403965497440742
"Congo, Dem. Rep.","Liver cancer","45-49",0.00436237894967048
"Congo, Dem. Rep.","Liver cancer","50-54",0.00482117224419858
"Congo, Dem. Rep.","Liver cancer","55-59",0.00528867496536614
"Congo, Dem. Rep.","Liver cancer","60-64",0.00584090279355795
"Congo, Dem. Rep.","Liver cancer","65-999",0.00758874951238122
"Equatorial Guinea","Esophageal cancer","15-19",0
"Equatorial Guinea","Esophageal cancer","20-24",0.00358369832345961
"Equatorial Guinea","Esophageal cancer","25-29",0.00468525640312099
"Equatorial Guinea","Esophageal cancer","30-34",0.00540886273142943
"Equatorial Guinea","Esophageal cancer","35-39",0.00554683492518828
"Equatorial Guinea","Esophageal cancer","40-44",0.00566937599183215
"Equatorial Guinea","Esophageal cancer","45-49",0.0057068251117018
"Equatorial Guinea","Esophageal cancer","50-54",0.00614120782223403
"Equatorial Guinea","Esophageal cancer","55-59",0.00652451119437409
"Equatorial Guinea","Esophageal cancer","60-64",0.00699912459439205
"Equatorial Guinea","Esophageal cancer","65-999",0.00825110606586183
"Rwanda","Esophageal cancer","15-19",0
"Rwanda","Esophageal cancer","20-24",0.00359640491448881
"Rwanda","Esophageal cancer","25-29",0.00466423906955035
"Rwanda","Esophageal cancer","30-34",0.00531324846259039
"Rwanda","Esophageal cancer","35-39",0.00547468084331799
"Rwanda","Esophageal cancer","40-44",0.00560409340916259
"Rwanda","Esophageal cancer","45-49",0.0055777905624868
"Rwanda","Esophageal cancer","50-54",0.00598093619689543
"Rwanda","Esophageal cancer","55-59",0.00635101314966664
"Rwanda","Esophageal cancer","60-64",0.00679422946004536
"Rwanda","Esophageal cancer","65-999",0.00813448492857187
"Niger","Liver cancer","15-19",0.00264718703469424
"Niger","Liver cancer","20-24",0.00269050440175856
"Niger","Liver cancer","25-29",0.00368946442353559
"Niger","Liver cancer","30-34",0.00378904391523648
"Niger","Liver cancer","35-39",0.00408861867731618
"Niger","Liver cancer","40-44",0.00402312921764448
"Niger","Liver cancer","45-49",0.0043815602396642
"Niger","Liver cancer","50-54",0.00483675564816959
"Niger","Liver cancer","55-59",0.00527916123967272
"Niger","Liver cancer","60-64",0.00586617239681908
"Niger","Liver cancer","65-999",0.00752828088715145
"Luxembourg","Gallbladder and biliary tract cancer","15-19",0
"Luxembourg","Gallbladder and biliary tract cancer","20-24",0.00625855055513866
"Luxembourg","Gallbladder and biliary tract cancer","25-29",0.00734088794404711
"Luxembourg","Gallbladder and biliary tract cancer","30-34",0.00873753185434589
"Luxembourg","Gallbladder and biliary tract cancer","35-39",0.00974274084798482
"Luxembourg","Gallbladder and biliary tract cancer","40-44",0.0108659470880946
"Luxembourg","Gallbladder and biliary tract cancer","45-49",0.00930933526868337
"Luxembourg","Gallbladder and biliary tract cancer","50-54",0.00911961615147306
"Luxembourg","Gallbladder and biliary tract cancer","55-59",0.0100057646384386
"Luxembourg","Gallbladder and biliary tract cancer","60-64",0.0104430868042224
"Luxembourg","Gallbladder and biliary tract cancer","65-999",0.0160312308440224
"Germany","Liver cancer","15-19",0.00428400525054445
"Germany","Liver cancer","20-24",0.00433725112908905
"Germany","Liver cancer","25-29",0.00592990879177208
"Germany","Liver cancer","30-34",0.00597779047144608
"Germany","Liver cancer","35-39",0.00648248297157299
"Germany","Liver cancer","40-44",0.00679977068639848
"Germany","Liver cancer","45-49",0.00690705669023209
"Germany","Liver cancer","50-54",0.0075255740388179
"Germany","Liver cancer","55-59",0.00781907384551402
