"country","age_grp","year","lta"
"Albania","15-19",2015,0.129370338438616
"Albania","15-19",2016,0.119215918248197
"Albania","15-19",2017,0.109758049937398
"Albania","15-19",2018,0.100964501058128
"Albania","15-19",2019,0.092802028521391
"Albania","15-19",2020,0.0852368867274843
"Albania","15-19",2021,0.0782352652754637
"Albania","15-19",2022,0.0717636590226855
"Albania","15-19",2023,0.0657891746616171
"Albania","15-19",2024,0.0602797789138857
"Albania","15-19",2025,0.0552044939842506
"Albania","15-19",2026,0.0505335461440474
"Albania","15-19",2027,0.0462384732947353
"Albania","15-19",2028,0.0422921971601484
"Albania","15-19",2029,0.0386690654254224
"Albania","15-19",2030,0.0353448687264605
"Albania","15-19",2031,0.0322968369327516
"Albania","15-19",2032,0.029503618686723
"Albania","15-19",2033,0.0269452476859704
"Albania","15-19",2034,0.0246030987358231
"Albania","15-19",2035,0.0224598361692031
"Albania","15-19",2036,0.0204993568349117
"Albania","15-19",2037,0.0187067294976371
"Albania","15-19",2038,0.0170681321741683
"Albania","15-19",2039,0.0155707886497915
"Albania","15-19",2040,0.0142029051749181
"Albania","15-19",2041,0.0129536081320816
"Albania","15-19",2042,0.011812883284598
"Albania","15-19",2043,0.010771517067319
"Albania","15-19",2044,0.00982104025383048
"Albania","15-19",2045,0.0089536742301583
"Albania","15-19",2046,0.00816228001966022
"Albania","15-19",2047,0.00744031013467521
"Albania","15-19",2048,0.00678176327527441
"Albania","15-19",2049,0.00618114185199738
"Albania","15-19",2050,0.00563341227584721
"Albania","20-24",2015,0.506764859997141
"Albania","20-24",2016,0.502309137065329
"Albania","20-24",2017,0.497853047340496
"Albania","20-24",2018,0.493397298647618
"Albania","20-24",2019,0.488942598595022
"Albania","20-24",2020,0.484489654124991
"Albania","20-24",2021,0.480039171065279
"Albania","20-24",2022,0.475591853682123
"Albania","20-24",2023,0.471148404235368
"Albania","20-24",2024,0.466709522536288
"Albania","20-24",2025,0.462275905508685
"Albania","20-24",2026,0.457848246753875
"Albania","20-24",2027,0.45342723612011
"Albania","20-24",2028,0.449013559277009
"Albania","20-24",2029,0.444607897295549
"Albania","20-24",2030,0.440210926234149
"Albania","20-24",2031,0.435823316731381
"Albania","20-24",2032,0.43144573360582
"Albania","20-24",2033,0.427078835463507
"Albania","20-24",2034,0.422723274313531
"Albania","20-24",2035,0.418379695192157
"Albania","20-24",2036,0.414048735795986
"Albania","20-24",2037,0.409731026124509
"Albania","20-24",2038,0.40542718813251
"Albania","20-24",2039,0.40113783539265
"Albania","20-24",2040,0.396863572768639
"Albania","20-24",2041,0.392604996099282
"Albania","20-24",2042,0.388362691893744
"Albania","20-24",2043,0.384137237038301
"Albania","20-24",2044,0.379929198514872
"Albania","20-24",2045,0.375739133131534
"Albania","20-24",2046,0.371567587265265
"Albania","20-24",2047,0.367415096617098
"Albania","20-24",2048,0.363282185979862
"Albania","20-24",2049,0.35916936901864
"Albania","20-24",2050,0.355077148064073
